kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
ДГ №128 Феникс,152,128,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.703514,23.277814&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dd06d67435cd9efa",11,Красна поляна
ДГ №128 Феникс - сграда 2 (с яслени групи),295,128,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.703514,23.277814&spn=0.001869,0.003626&t=h&z=18&iwloc=00044dd06d67435cd9efa",11,Красна поляна
ДГ №130 Приказка,108,130,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.704215,23.280641&spn=0.003737,0.006909&z=17",11,Красна поляна
ДГ №169 Коледарче,77,169,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.69952,23.290967&spn=0.002393,0.005681",11,Красна поляна
ДГ №187 Жар птица (с яслени групи),46,187,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.695408,23.280212&spn=0.001869,0.003626&t=h&z=18&iwloc=00044da5f66579c63540b",11,Красна поляна
ДГ №196 Шарл Перо,162,196,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.699808,23.284407&spn=0.001869,0.003626&t=h&z=18&iwloc=00044d90ad49b03dc07c7",11,Красна поляна
ДГ №51 Щурче (с яслени групи),166,51,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.709687,23.315231&spn=0.001868,0.003626&t=h&z=18&iwloc=00044da71a8d7d987dbbe",12,Илинден
ДГ №52 Илинденче - сграда ул. Кукуш № 1 (с яслени групи),237,52,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.717129,23.285415&spn=0.009506,0.022724&iwloc=0004ddb3f60bb74015242",12,Илинден
ДГ №153 Света Троица,126,153,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.705154,23.298075&spn=0.003737,0.007253&t=h&z=17&iwloc=00044da72a6024edc42ac",12,Илинден
ДГ №158 Зора (с яслени групи),61,158,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.716596,23.291236&spn=0.001868,0.003626&t=h&z=18&iwloc=00044d945c859d466b42c",12,Илинден
